Record,YNAM,ZNAM
1325403492,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325403493,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325403495,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325403502,ITMRingUp [SNDR:0C08AB14],
1325404884,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407629,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407644,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325407645,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325407646,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325407650,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407651,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407656,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407657,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325407659,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407660,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407661,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407662,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407664,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325407665,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325407667,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325407679,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407681,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325407683,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325409060,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325410444,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325410445,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325410447,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325410460,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325410461,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325411785,,
1325411790,,
1325411791,,
1325411792,,
1325411814,ITMRingUp [SNDR:0C08AB14],
1325411817,ITMRingUp [SNDR:0C08AB14],
1325411819,ITMRingUp [SNDR:0C08AB14],
1325411830,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325411836,ITMRingUp [SNDR:0C08AB14],
1325411837,ITMRingUp [SNDR:0C08AB14],
1325411838,ITMRingUp [SNDR:0C08AB14],
1325411839,ITMRingUp [SNDR:0C08AB14],
1325411840,ITMRingUp [SNDR:0C08AB14],
1325411841,ITMRingUp [SNDR:0C08AB14],
1325411842,ITMRingUp [SNDR:0C08AB14],
1325411843,ITMRingUp [SNDR:0C08AB14],
1325411844,ITMRingUp [SNDR:0C08AB14],
1325411845,ITMRingUp [SNDR:0C08AB14],
1325411846,ITMRingUp [SNDR:0C08AB14],
1325411847,ITMRingUp [SNDR:0C08AB14],
1325411848,ITMRingUp [SNDR:0C08AB14],
1325411849,ITMRingUp [SNDR:0C08AB14],
1325411851,ITMRingUp [SNDR:0C08AB14],
1325411864,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325411868,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325411870,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325413213,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325413269,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325414595,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325417347,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325417353,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325418727,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325418728,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325418729,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325418730,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325418731,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325418735,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325418736,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325418769,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325420140,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420141,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420142,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420143,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420144,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420146,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420147,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420148,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420149,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420150,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420151,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325420152,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325421460,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325421461,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325421462,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325421463,ITMNeckUp [SNDR:0C08AB15],ITMNeckDown [SNDR:0C08AB16]
1325421503,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325421504,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325421511,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325422893,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325422894,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
1325424276,ITMClothingUpSD [SNDR:0003E879],ITMClothingDownSD [SNDR:0003E909]
